year,deaths,damages,datetime
1946,9,0,1946-01-01
1947,11,0,1947-01-01
1948,8,0,1948-01-01
1949,6,0,1949-01-01
1950,12,0,1950-01-01
1951,18,0,1951-01-01
1952,12,0,1952-01-01
1953,5,0,1953-01-01
1954,4,0,1954-01-01
1955,16,0,1955-01-01
1956,21,0,1956-01-01
1957,18,0,1957-01-01
1958,17,0,1958-01-01
1959,10,0,1959-01-01
1960,10,0,1960-01-01
1961,11,0,1961-01-01
1962,3,0,1962-01-01
1963,15,0,1963-01-01
1964,11,0,1964-01-01
1965,102,0,1965-01-01
1966,7,0,1966-01-01
1967,20,0,1967-01-01
1968,12,0,1968-01-01
1969,12,0,1969-01-01
1970,11,0,1970-01-01
1971,3,0,1971-01-01
1972,4,47,1972-01-01
1973,8,241,1973-01-01
1974,2,68,1974-01-01
1975,8,340,1975-01-01
1976,7,40,1976-01-01
1977,8,539,1977-01-01
1978,13,"1,103",1978-01-01
1979,2,94,1979-01-01
1980,3,49,1980-01-01
1981,10,96,1981-01-01
1982,8,72,1982-01-01
1983,5,91,1983-01-01
1984,1,170,1984-01-01
1985,3,82,1985-01-01
1986,7,190,1986-01-01
1987,10,"1,864",1987-01-01
1988,3,187,1988-01-01
1989,6,21,1989-01-01
1990,11,395,1990-01-01
1991,5,157,1991-01-01
1992,8,77,1992-01-01
1993,8,"1,106",1993-01-01
1994,1,254,1994-01-01
1995,2,99,1995-01-01
1996,4,40,1996-01-01
1997,3,229,1997-01-01
1998,5,50,1998-01-01
1999,19,791,1999-01-01
2000,20,818,2000-01-01
2001,1,91,2001-01-01
2002,5,391,2002-01-01
2003,6,81,2003-01-01
2004,1,54,2004-01-01
2005,11,"3,269",2005-01-01
2006,6,80,2006-01-01
2007,4,759,2007-01-01
2008,0,24,2008-01-01
2009,5,27,2009-01-01
2010,2,65,2010-01-01
2011,3,124,2011-01-01
2012,6,41,2012-01-01
2013,7,132,2013-01-01
2014,6,106,2014-01-01
2015,3,156,2015-01-01
2016,3,103,2016-01-01
2017,9,184,2017-01-01
2018,0,216,2018-01-01
2019,6,87,2019-01-01
2020,2,42,2020-01-01
2021,3,471,2021-01-01
2022,0,46,2022-01-01
2023,0,73,2023-01-01