date,precipitation,datetime
1880-Jan,59,1880-01-01
1880-Feb,117,1880-02-01
1880-Mar,96,1880-03-01
1880-Apr,37,1880-04-01
1880-May,39,1880-05-01
1880-Jun,134,1880-06-01
1880-Jul,109,1880-07-01
1880-Aug,51,1880-08-01
1880-Sep,98,1880-09-01
1880-Oct,87,1880-10-01
1880-Nov,129,1880-11-01
1880-Dec,146,1880-12-01
1890-Jan,123,1890-01-01
1890-Feb,126,1890-02-01
1890-Mar,60,1890-03-01
1890-Apr,80,1890-04-01
1890-May,73,1890-05-01
1890-Jun,122,1890-06-01
1890-Jul,121,1890-07-01
1890-Aug,77,1890-08-01
1890-Sep,113,1890-09-01
1890-Oct,51,1890-10-01
1890-Nov,109,1890-11-01
1890-Dec,145,1890-12-01
1900-Jan,95,1900-01-01
1900-Feb,140,1900-02-01
1900-Mar,88,1900-03-01
1900-Apr,74,1900-04-01
1900-May,63,1900-05-01
1900-Jun,127,1900-06-01
1900-Jul,115,1900-07-01
1900-Aug,87,1900-08-01
1900-Sep,101,1900-09-01
1900-Oct,74,1900-10-01
1900-Nov,95,1900-11-01
1900-Dec,95,1900-12-01
1910-Jan,90,1910-01-01
1910-Feb,136,1910-02-01
1910-Mar,114,1910-03-01
1910-Apr,64,1910-04-01
1910-May,78,1910-05-01
1910-Jun,136,1910-06-01
1910-Jul,139,1910-07-01
1910-Aug,100,1910-08-01
1910-Sep,94,1910-09-01
1910-Oct,103,1910-10-01
1910-Nov,100,1910-11-01
1910-Dec,101,1910-12-01
1920-Jan,112,1920-01-01
1920-Feb,137,1920-02-01
1920-Mar,88,1920-03-01
1920-Apr,56,1920-04-01
1920-May,77,1920-05-01
1920-Jun,116,1920-06-01
1920-Jul,119,1920-07-01
1920-Aug,66,1920-08-01
1920-Sep,113,1920-09-01
1920-Oct,89,1920-10-01
1920-Nov,98,1920-11-01
1920-Dec,108,1920-12-01
1930-Jan,88,1930-01-01
1930-Feb,132,1930-02-01
1930-Mar,67,1930-03-01
1930-Apr,67,1930-04-01
1930-May,78,1930-05-01
1930-Jun,151,1930-06-01
1930-Jul,127,1930-07-01
1930-Aug,81,1930-08-01
1930-Sep,123,1930-09-01
1930-Oct,80,1930-10-01
1930-Nov,121,1930-11-01
1930-Dec,109,1930-12-01
1940-Jan,69,1940-01-01
1940-Feb,120,1940-02-01
1940-Mar,73,1940-03-01
1940-Apr,70,1940-04-01
1940-May,79,1940-05-01
1940-Jun,124,1940-06-01
1940-Jul,123,1940-07-01
1940-Aug,75,1940-08-01
1940-Sep,101,1940-09-01
1940-Oct,98,1940-10-01
1940-Nov,72,1940-11-01
1940-Dec,112,1940-12-01
1950-Jan,86,1950-01-01
1950-Feb,145,1950-02-01
1950-Mar,87,1950-03-01
1950-Apr,87,1950-04-01
1950-May,86,1950-05-01
1950-Jun,132,1950-06-01
1950-Jul,136,1950-07-01
1950-Aug,61,1950-08-01
1950-Sep,95,1950-09-01
1950-Oct,98,1950-10-01
1950-Nov,92,1950-11-01
1950-Dec,106,1950-12-01
1960-Jan,89,1960-01-01
1960-Feb,156,1960-02-01
1960-Mar,92,1960-03-01
1960-Apr,72,1960-04-01
1960-May,80,1960-05-01
1960-Jun,126,1960-06-01
1960-Jul,116,1960-07-01
1960-Aug,85,1960-08-01
1960-Sep,115,1960-09-01
1960-Oct,106,1960-10-01
1960-Nov,69,1960-11-01
1960-Dec,112,1960-12-01
1970-Jan,94,1970-01-01
1970-Feb,135,1970-02-01
1970-Mar,77,1970-03-01
1970-Apr,87,1970-04-01
1970-May,74,1970-05-01
1970-Jun,125,1970-06-01
1970-Jul,133,1970-07-01
1970-Aug,78,1970-08-01
1970-Sep,96,1970-09-01
1970-Oct,112,1970-10-01
1970-Nov,94,1970-11-01
1970-Dec,87,1970-12-01
1980-Jan,97,1980-01-01
1980-Feb,125,1980-02-01
1980-Mar,98,1980-03-01
1980-Apr,67,1980-04-01
1980-May,106,1980-05-01
1980-Jun,123,1980-06-01
1980-Jul,130,1980-07-01
1980-Aug,98,1980-08-01
1980-Sep,129,1980-09-01
1980-Oct,73,1980-10-01
1980-Nov,101,1980-11-01
1980-Dec,107,1980-12-01
1990-Jan,95,1990-01-01
1990-Feb,117,1990-02-01
1990-Mar,108,1990-03-01
1990-Apr,85,1990-04-01
1990-May,74,1990-05-01
1990-Jun,126,1990-06-01
1990-Jul,146,1990-07-01
1990-Aug,71,1990-08-01
1990-Sep,110,1990-09-01
1990-Oct,108,1990-10-01
1990-Nov,106,1990-11-01
1990-Dec,132,1990-12-01
2000-Jan,89,2000-01-01
2000-Feb,150,2000-02-01
2000-Mar,83,2000-03-01
2000-Apr,73,2000-04-01
2000-May,78,2000-05-01
2000-Jun,146,2000-06-01
2000-Jul,113,2000-07-01
2000-Aug,99,2000-08-01
2000-Sep,116,2000-09-01
2000-Oct,104,2000-10-01
2000-Nov,99,2000-11-01
2000-Dec,97,2000-12-01
2010-Jan,77,2010-01-01
2010-Feb,128,2010-02-01
2010-Mar,109,2010-03-01
2010-Apr,63,2010-04-01
2010-May,103,2010-05-01
2010-Jun,125,2010-06-01
2010-Jul,124,2010-07-01
2010-Aug,70,2010-08-01
2010-Sep,135,2010-09-01
2010-Oct,97,2010-10-01
2010-Nov,95,2010-11-01
2010-Dec,88,2010-12-01
2020-Jan,72,2020-01-01
2020-Feb,138,2020-02-01
2020-Mar,125,2020-03-01
2020-Apr,74,2020-04-01
2020-May,86,2020-05-01
2020-Jun,129,2020-06-01
2020-Jul,123,2020-07-01
2020-Aug,86,2020-08-01
2020-Sep,118,2020-09-01
2020-Oct,101,2020-10-01
2020-Nov,114,2020-11-01
2020-Dec,102,2020-12-01
